image_id,image_path,fashionpedia_category,clothing_type_hint,environment,clothing_type,color,vibe
124,fashionpedia_000124.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
125,fashionpedia_000125.jpg,0,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
126,fashionpedia_000126.jpg,6,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
127,fashionpedia_000127.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
128,fashionpedia_000128.jpg,23,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,pink,trendy streetwear
129,fashionpedia_000129.jpg,6,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
130,fashionpedia_000130.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,trendy streetwear
131,fashionpedia_000131.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,gray,trendy streetwear
132,fashionpedia_000132.jpg,8,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,casual relaxed
133,fashionpedia_000133.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,professional formal
134,fashionpedia_000134.jpg,31,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,pink,casual relaxed
135,fashionpedia_000135.jpg,14,casual hoodie or t-shirt,urban street,outerwear jacket or coat,orange,casual relaxed
136,fashionpedia_000136.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
137,fashionpedia_000137.jpg,0,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,professional formal
138,fashionpedia_000138.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,casual relaxed
139,fashionpedia_000139.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
140,fashionpedia_000140.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
141,fashionpedia_000141.jpg,10,casual hoodie or t-shirt,park outdoors,formal blazer or button-down shirt,blue,casual relaxed
142,fashionpedia_000142.jpg,1,casual hoodie or t-shirt,park outdoors,outerwear jacket or coat,blue,casual relaxed
143,fashionpedia_000143.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
144,fashionpedia_000144.jpg,33,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,black,casual relaxed
145,fashionpedia_000145.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
146,fashionpedia_000146.jpg,29,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,casual relaxed
147,fashionpedia_000147.jpg,8,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
148,fashionpedia_000148.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
149,fashionpedia_000149.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,trendy streetwear
150,fashionpedia_000150.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,trendy streetwear
151,fashionpedia_000151.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,orange,casual relaxed
152,fashionpedia_000152.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
153,fashionpedia_000153.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,trendy streetwear
154,fashionpedia_000154.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,orange,professional formal
155,fashionpedia_000155.jpg,4,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,cozy comfortable
156,fashionpedia_000156.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
157,fashionpedia_000157.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
158,fashionpedia_000158.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
159,fashionpedia_000159.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
160,fashionpedia_000160.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,casual relaxed
161,fashionpedia_000161.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
162,fashionpedia_000162.jpg,9,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,cozy comfortable
163,fashionpedia_000163.jpg,13,casual hoodie or t-shirt,park outdoors,outerwear jacket or coat,red,professional formal
164,fashionpedia_000164.jpg,14,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,professional formal
165,fashionpedia_000165.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,orange,trendy streetwear
166,fashionpedia_000166.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
167,fashionpedia_000167.jpg,24,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,trendy streetwear
168,fashionpedia_000168.jpg,31,casual hoodie or t-shirt,park outdoors,casual hoodie or t-shirt,yellow,casual relaxed
169,fashionpedia_000169.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,casual relaxed
170,fashionpedia_000170.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
171,fashionpedia_000171.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
172,fashionpedia_000172.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,casual relaxed
173,fashionpedia_000173.jpg,13,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,green,trendy streetwear
174,fashionpedia_000174.jpg,34,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
175,fashionpedia_000175.jpg,15,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,trendy streetwear
176,fashionpedia_000176.jpg,10,casual hoodie or t-shirt,park outdoors,formal blazer or button-down shirt,green,casual relaxed
177,fashionpedia_000177.jpg,4,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,cozy comfortable
178,fashionpedia_000178.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
179,fashionpedia_000179.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
180,fashionpedia_000180.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
181,fashionpedia_000181.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
182,fashionpedia_000182.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
183,fashionpedia_000183.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,trendy streetwear
184,fashionpedia_000184.jpg,38,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,casual relaxed
185,fashionpedia_000185.jpg,8,casual hoodie or t-shirt,park outdoors,formal blazer or button-down shirt,red,casual relaxed
186,fashionpedia_000186.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
187,fashionpedia_000187.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,yellow,casual relaxed
188,fashionpedia_000188.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,green,casual relaxed
189,fashionpedia_000189.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,trendy streetwear
190,fashionpedia_000190.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,professional formal
191,fashionpedia_000191.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
192,fashionpedia_000192.jpg,14,casual hoodie or t-shirt,park outdoors,casual hoodie or t-shirt,blue,trendy streetwear
193,fashionpedia_000193.jpg,10,casual hoodie or t-shirt,office interior,outerwear jacket or coat,white,professional formal
194,fashionpedia_000194.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
195,fashionpedia_000195.jpg,0,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
196,fashionpedia_000196.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,white,casual relaxed
198,fashionpedia_000198.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,professional formal
199,fashionpedia_000199.jpg,1,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,gray,casual relaxed
200,fashionpedia_000200.jpg,32,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
201,fashionpedia_000201.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
202,fashionpedia_000202.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
203,fashionpedia_000203.jpg,11,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
204,fashionpedia_000204.jpg,5,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,trendy streetwear
205,fashionpedia_000205.jpg,13,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,casual relaxed
206,fashionpedia_000206.jpg,11,casual hoodie or t-shirt,urban street,outerwear jacket or coat,gray,trendy streetwear
207,fashionpedia_000207.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,casual relaxed
208,fashionpedia_000208.jpg,4,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,professional formal
209,fashionpedia_000209.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,cozy comfortable
210,fashionpedia_000210.jpg,9,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,trendy streetwear
212,fashionpedia_000212.jpg,6,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,trendy streetwear
214,fashionpedia_000214.jpg,13,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
215,fashionpedia_000215.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,casual relaxed
216,fashionpedia_000216.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,white,casual relaxed
219,fashionpedia_000219.jpg,4,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,brown,professional formal
220,fashionpedia_000220.jpg,41,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,professional formal
221,fashionpedia_000221.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
222,fashionpedia_000222.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
223,fashionpedia_000223.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,orange,professional formal
224,fashionpedia_000224.jpg,6,casual hoodie or t-shirt,office interior,formal blazer or button-down shirt,blue,professional formal
225,fashionpedia_000225.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,green,professional formal
226,fashionpedia_000226.jpg,33,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
227,fashionpedia_000227.jpg,14,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,trendy streetwear
228,fashionpedia_000228.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
229,fashionpedia_000229.jpg,23,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,black,casual relaxed
230,fashionpedia_000230.jpg,32,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,trendy streetwear
231,fashionpedia_000231.jpg,6,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,trendy streetwear
232,fashionpedia_000232.jpg,0,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,gray,trendy streetwear
233,fashionpedia_000233.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,trendy streetwear
234,fashionpedia_000234.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
235,fashionpedia_000235.jpg,10,casual hoodie or t-shirt,park outdoors,outerwear jacket or coat,white,professional formal
236,fashionpedia_000236.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,casual relaxed
238,fashionpedia_000238.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,professional formal
239,fashionpedia_000239.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,white,cozy comfortable
240,fashionpedia_000240.jpg,31,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,white,casual relaxed
241,fashionpedia_000241.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
242,fashionpedia_000242.jpg,2,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,green,casual relaxed
243,fashionpedia_000243.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,trendy streetwear
244,fashionpedia_000244.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
245,fashionpedia_000245.jpg,13,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
246,fashionpedia_000246.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,orange,professional formal
247,fashionpedia_000247.jpg,8,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,trendy streetwear
248,fashionpedia_000248.jpg,12,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
249,fashionpedia_000249.jpg,8,casual hoodie or t-shirt,office interior,outerwear jacket or coat,black,trendy streetwear
250,fashionpedia_000250.jpg,33,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,green,trendy streetwear
251,fashionpedia_000251.jpg,6,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,blue,casual relaxed
252,fashionpedia_000252.jpg,31,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,orange,casual relaxed
253,fashionpedia_000253.jpg,1,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,orange,casual relaxed
254,fashionpedia_000254.jpg,4,casual hoodie or t-shirt,urban street,outerwear jacket or coat,white,professional formal
255,fashionpedia_000255.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,yellow,casual relaxed
256,fashionpedia_000256.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,professional formal
257,fashionpedia_000257.jpg,0,casual hoodie or t-shirt,urban street,outerwear jacket or coat,brown,casual relaxed
258,fashionpedia_000258.jpg,14,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,gray,casual relaxed
259,fashionpedia_000259.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,professional formal
260,fashionpedia_000260.jpg,6,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,brown,trendy streetwear
262,fashionpedia_000262.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,professional formal
263,fashionpedia_000263.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,red,casual relaxed
264,fashionpedia_000264.jpg,33,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,brown,professional formal
265,fashionpedia_000265.jpg,4,casual hoodie or t-shirt,urban street,outerwear jacket or coat,blue,casual relaxed
266,fashionpedia_000266.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,black,trendy streetwear
267,fashionpedia_000267.jpg,10,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,professional formal
268,fashionpedia_000268.jpg,35,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,black,professional formal
269,fashionpedia_000269.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,trendy streetwear
270,fashionpedia_000270.jpg,23,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,professional formal
271,fashionpedia_000271.jpg,23,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,white,trendy streetwear
272,fashionpedia_000272.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,red,trendy streetwear
273,fashionpedia_000273.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
274,fashionpedia_000274.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,green,professional formal
275,fashionpedia_000275.jpg,10,casual hoodie or t-shirt,office interior,outerwear jacket or coat,white,professional formal
276,fashionpedia_000276.jpg,31,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
277,fashionpedia_000277.jpg,10,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,professional formal
278,fashionpedia_000278.jpg,1,casual hoodie or t-shirt,urban street,outerwear jacket or coat,black,trendy streetwear
279,fashionpedia_000279.jpg,23,casual hoodie or t-shirt,urban street,formal blazer or button-down shirt,pink,trendy streetwear
280,fashionpedia_000280.jpg,1,casual hoodie or t-shirt,urban street,casual hoodie or t-shirt,brown,casual relaxed
